provider.name,dataProvider.name,collection.id,collection.title,count
National_Archives_and_Records_Administration,National Archives at New York,,Records of District Courts of the United States,500
National_Archives_and_Records_Administration,National Archives at Boston,,Records of District Courts of the United States,468
National_Archives_and_Records_Administration,National Archives at Boston,,Records of Naval Districts and Shore Establishments,5
National_Archives_and_Records_Administration,National Archives at Boston,5fbfb9164679561adbc532030869c12e,Photographs of the First Naval District,5
National_Archives_and_Records_Administration,National Archives at Boston,cebe45b7fe045c954049515dc14da4fa,Watertown Arsenal Photographs,7
National_Archives_and_Records_Administration,National Archives at Boston,,Records of the Office of the Chief of Engineers,6
National_Archives_and_Records_Administration,National Archives at Boston,4ddfcba34322e745fadc7cea748e0669,Civil Defense Photographs,3
National_Archives_and_Records_Administration,National Archives at Boston,,Records of the Office of the Chief of Transportation,1
National_Archives_and_Records_Administration,National Archives at Boston,,Records of the Work Projects Administration,1
National_Archives_and_Records_Administration,National Archives at Boston,,Records of the Office of the Quartermaster General,1
National_Archives_and_Records_Administration,National Archives at Boston,,Records of the Forest Service,1
National_Archives_and_Records_Administration,National Archives at Boston,,"Records of U.S. Army Operational, Tactical, and Support Organizations (World War II and Thereafter)",2
National_Archives_and_Records_Administration,National Archives at Fort Worth,,Records of the Bureau of Indian Affairs,483
National_Archives_and_Records_Administration,National Archives at Fort Worth,,Records of District Courts of the United States,13
National_Archives_and_Records_Administration,National Archives at Fort Worth,,Records of the U.S. Customs Service,2
National_Archives_and_Records_Administration,National Archives at Fort Worth,,Records of the U.S. Bureau of Mines,1
National_Archives_and_Records_Administration,National Archives at Fort Worth,,Records of the National Aeronautics and Space Administration,1
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Bureau of Indian Affairs,256
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Bureau of Prisons,93
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Office of the Chief of Engineers,2
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of District Courts of the United States,7
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of U.S. Attorneys,66
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the U.S. Food Administration,26
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Bureau of Land Management,4
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Selective Service System,29
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Committee on Fair Employment Practice,4
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Office of the Chief of Ordnance,6
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Army Air Forces,2
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the U.S. Courts of Appeals,2
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the U.S. Fish and Wildlife Service,1
National_Archives_and_Records_Administration,National Archives at Kansas City,,Records of the Forest Service,2
National_Archives_and_Records_Administration,William J. Clinton Library,,Records relating to China's Permanent Trade Status (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Task Force on National Health Care (Clinton Administration),128
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Intelligence Programs Office (Clinton Administration),3
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of the Public Liaison (Clinton Administration),6
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Domestic Policy Council (Clinton Administration),35
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the White House Office of Records Management (Clinton Administration),56
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Speechwriting (Clinton Administration),72
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Speechwriting Office (Clinton Administration),32
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the First Lady's Office (Clinton Administration),41
National_Archives_and_Records_Administration,William J. Clinton Library,,"Records of the National Security Council Democracy, Human Rights, and Multilateral Affairs Office (Clinton Administration)",2
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Communications (Clinton Administration),8
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of the Counsel to the President (Clinton Administration),21
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Policy Development (Clinton Administration),6
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Records Management Office (Clinton Administration),28
National_Archives_and_Records_Administration,William J. Clinton Library,,Presidential Electronic Mail from the Automated Records Management System (ARMS),11
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the White House Office for Women's Initiative and Outreach (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Photographs of the White House Photograph Office (Clinton Administration),9
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council European Affairs Office (Clinton Administration),7
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Office of Press and Communications (Clinton Administration),10
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council International Economic Affairs Office (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council (Clinton Administration),13
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Transnational Threats Office (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Council of Economic Advisers (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Intergovernmental Affairs (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of the Chief of Staff (Clinton Administration),2
National_Archives_and_Records_Administration,William J. Clinton Library,,Video Recordings of the White House Television Office (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Legislative Affairs (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Near East and South Asian Affairs Office (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Tape Restoration Project (TRP) Emails,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of District Courts of the United States,489
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the National Park Service,4
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of Naval Districts and Shore Establishments,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the U.S. Courts of Appeals,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the National Aeronautics and Space Administration,3
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the Food and Drug Administration,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the Office of the Chief of Ordnance,1
National_Archives_and_Records_Administration,Gerald R. Ford Library,,White House Photographic Office Collection (Ford Administration),29
National_Archives_and_Records_Administration,Gerald R. Ford Library,,White House Press Releases (Ford Administration),253
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Ron Nessen Papers,35
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Gerald R. Ford Composite Collection,1
National_Archives_and_Records_Administration,Gerald R. Ford Library,,President's Daily Diary (Ford Administration),19
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Ron Nessen Files (Ford Administration),16
National_Archives_and_Records_Administration,Gerald R. Ford Library,,White House Records Office: Legislation Case Files,35
National_Archives_and_Records_Administration,Gerald R. Ford Library,,President's Speeches and Statements Reading Copies (Ford Administration),20
National_Archives_and_Records_Administration,Gerald R. Ford Library,,National Security Council Meetings Files (Ford Administration),2
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Robert M. Teeter Papers,10
National_Archives_and_Records_Administration,Gerald R. Ford Library,,John O. Marsh Files (Ford Administration),25
