term,count
Cornell University,68070
University of Delaware,15140
Colby College,14252
Trinity College,11624
Yale Center for British Art,5436
Bryn Mawr College,3710
St. Lawrence University,2143
University of Rhode Island,1995
The Walters Art Museum,1581
"Washington University, St. Louis",1491
Gettysburg College,1361
Indianapolis Museum of Art at Newfields,1175
"CUNY, City College of New York",1106
Rhode Island College,976
Dallas Museum of Art,728
Yale University Art Gallery,614
Martin Methodist College,411
"The National Gallery of Art (Washington, D.C.)",383
"Ottawa University, Gangwish Library",317
Bennington College,274
"University of California, San Diego (UCSD)",237
University of Saint Mary,198
Hollins University,168
Illinois College,157
University of Puget Sound,124
Allegheny College,89
Emerson College,36
Colby College: Colbiana Photographs,6
