term,count
"U.S. Department of Agriculture, National Agricultural Library",55018
Smithsonian Libraries,26239
MBLWHOI Library,12668
University of California Libraries (archive.org),11272
"Harvard University, Museum of Comparative Zoology, Ernst Mayr Library",10197
"New York Botanical Garden, LuEsther T. Mertz Library",9527
"Natural History Museum Library, London",9043
"Missouri Botanical Garden, Peter H. Raven Library",8088
Library of Congress,6487
Cornell University Library,6104
"University Library, University of Illinois Urbana Champaign",5506
University of Toronto - Gerstein Science Information Centre,5188
American Museum of Natural History Library,4076
Smithsonian Institution Archives,3325
Harvard University Botany Libraries,2811
Canadiana.org (archive.org),2724
NCSU Libraries (archive.org),2059
UMass Amherst Libraries (archive.org),1939
California Academy of Sciences,1797
Montana State Library (archive.org),1797
University of Toronto - Robarts Library,1770
University of Alberta Libraries (archive.org),1470
"University of Florida, George A. Smathers Libraries",1247
Webster Family Library of Veterinary Medicine (archive.org),1198
University of Toronto - Thomas Fisher Rare Book Library,1033
"Institute of Botany, Chinese Academy of Sciences",1031
Boston Public Library (archive.org),846
Field Museum of Natural History Library,818
"University of Washington Botanic Gardens, Elisabeth C. Miller Library",777
"Research Library, The Getty Research Institute (archive.org)",747
Bureau of Land Management (archive.org),734
Penn State University (archive.org),680
Naturalis Biodiversity Center,660
University of New Hampshire Library (archive.org),563
Wellcome Library (archive.org),537
Muséum national d'Histoire naturelle,511
BHL SciELO,498
Naval Postgraduate School (archive.org),476
Columbia University Libraries (archive.org),473
Royal College of Physicians in Edinburgh (archive.org),461
John Carter Brown Library (archive.org),458
University of Connecticut Libraries (archive.org),453
Instituto de Ecología A.C.,452
University of British Columbia Library (archive.org),445
Museums Victoria,435
Wellesley College Library (archive.org),367
"UNEP-WCMC, Cambridge (archive.org)",362
Agriculture and Agri-Food Canada (archive.org),336
Iowa Ornithologists' Union,333
University of Michigan (archive.org),307
term,count
