term,count
Rhodes College. Crossroads to Freedom,115785
"University of Tennessee, Knoxville. Libraries",19127
Memphis Public Library,11333
Tennessee State Library and Archives,7296
Nashville Public Library,7190
Knox County Public Library,6181
University of Tennessee at Chattanooga,4531
Tennessee State Library & Archives,3521
"Center for Historic Preservation, Middle Tennessee State University",2790
Country Music Hall of Fame and Museum,1325
Arts Center of Cannon County,417
"Albert Gore Research Center, Middle Tennessee State University",364
McClung Historical Collection,244
Frank H. McClung Museum of Natural History and Culture,231
Langston Hughes Library (Children's Defense Fund Haley Farm),199
Tennessee. Department of Transportation,182
"Digital Initiatives, James E. Walker Library, Middle Tennessee State University",159
Albert Gore Research Center,142
Cookeville History Museum,142
"Special Collections, James E. Walker Library, Middle Tennessee State University",123
"University of Tennessee, Knoxville Libraries",93
University of Memphis. Special Collections,89
Chattanooga-Hamilton County Bicentennial Library,86
Beck Cultural Exchange Center,78
"Frank H. McClung Museum (Knoxville, Tenn.)",76
Angelo & Jennette Volpe Library & Media Center,72
"Union University (Jackson, Tenn.)",66
"Washington County Public Library (Jonesborough, Tenn.)",66
Tennessee State University. Special Collections and Archives,61
Museum of Appalachia,56
"University of Tennessee, Knoxville. Special Collections",56
Library of Congress,54
Houston County Public Library,49
Jackson-Madison County Library,49
Giles County Historical Society,44
Blount County Public Library,38
Englewood Textile Museum,33
Tennessee State Museum,33
Lipscomb University. Beaman Library,32
Stewart County Public Library,30
Chattanooga History Center,28
Tennessee Agricultural Museum,28
Clyde W. Roddy Public Library,27
Wilson County Archives,26
Williamson County Archives,24
"James E. Walker Library, Middle Tennessee State University",23
Bristol Historical Association,21
"Center for Popular Music, Middle Tennessee State University",21
Athenaeum Rectory,20
Bryan College,20
