term,count
Harvard Library,7283
"Widener Library, Harvard University",5726
"Emily Dickinson Archive, Harvard University",1531
"Harvard Fine Arts Library, Special Collections, Harvard University",1104
"Harvard Law School Library, Harvard University",847
"Houghton Library, Harvard College Library, Harvard University",372
"Harvard University Archives, Harvard University",262
"Houghton Library, Harvard University",226
"Andover-Harvard Theological Library, Harvard Divinity School, Harvard University",153
"General Artemas Ward House Museum, Harvard University",100
"Andover-Harvard Library, Harvard Divinity School, Harvard University",16
term,count
