dataProvider.name,count_of_items
University of California,468220
University of Michigan,430127
Harvard University,401712
HathiTrust,208032
University of Illinois,167781
New York Public Library,160766
Princeton University,120237
University of Minnesota,117558
University of Wisconsin,90763
Universidad Complutense de Madrid,77446
Library of Congress,76318
Cornell University,67422
Columbia University,54847
University of Chicago,53955
Penn State University,51373
University of Virginia,50162
Purdue University,34891
Northwestern University,34417
Indiana University,28119
Getty Research Institute,23481
University of North Carolina,7895
Yale University,7396
Duke University,7178
University of Florida,2298
Boston College,1975
North Carolina State University,751
