dataProvider.name,count_of_items
Wellcome Library,114129
Boston Public Library,51288
Getty Research Institute,49208
Montana State Library,26046
Royal College of Surgeons of England,21496
University of New Hampshire Library,17004
U.S. National Library of Medicine,16935
UMass Amherst Libraries,14602
Bibliothèque interuniversitaire de santé (Paris),13698
Internet Archive,12781
MBLWHOI Library,12753
Gerstein - University of Toronto,12706
Francis A. Countway Library of Medicine,10521
Royal College of Physicians in Edinburgh,10472
Columbia University Libraries,6566
Wellesley College Library,6231
Centers for Medicare & Medicaid Services Library,6154
Boston College Libraries,5520
University of Glasgow Library,5392
"Yale University, Cushing/Whitney Medical Library",5039
University of Connecticut Libraries,4860
Boston University Libraries,4536
"Royal College of Physicians, London",4149
"American Printing House for the Blind, Inc., M.C. Migel Library",4111
Clemson University Libraries,3960
University of Leeds Library,3775
MIT Libraries,3548
John Adams Library at the Boston Public Library,3206
"UCL Library Services, University College London (UCL)",2664
London School of Hygiene & Tropical Medicine Library & Archives Service,2294
Harvard Library Judaica Division,2129
"King's College London, Foyle Special Collections Library",1948
Brandeis University Libraries,1820
"American Printing House for the Blind, Inc., M. C. Migel Library",1742
"Northeastern University, Snell Library",1624
Mattapoisett Free Public Library,1572
State Library of Massachusetts,1542
"University of Maryland, Baltimore Digital Archive",1496
Webster Family Library of Veterinary Medicine,1465
Brown University Library,1267
The College of Physicians of Philadelphia Historical Medical Library,1262
Tisch Library,1175
"University of Massachusetts, Boston",1152
Water Resources Division,1120
Cushing Whitney Medical Library,1076
UMass Lowell Libraries,1061
Frick Art Reference Library,1031
"School of Theology, Boston University",964
University of Bristol,943
"Health Sciences Library, University of North Carolina at Chapel Hill",941
