dataProvider.name,count_of_items
University of Kentucky,132465
Transylvania University,2428
Lexington Public Library,2341
Murray State University,1663
Morehead State University,1446
Jeffersontown Historical Museum,725
Eastern Kentucky University,340
The Filson Historical Society,104
Berea College,78
Kentucky State University,74
International Code Council,9
Montgomery County Historical Society,2
Kentucky Department for Libraries and Archives,1
Lexington Fayette Urban County Government,1
