term,count
University of Michigan. Libraries,85374
University of Michigan. Bentley Historical Library,58227
Wayne State University. Libraries,43539
"Grand Rapids Public Library (Grand Rapids, Mich.)",29897
Grand Valley State University. University Libraries,16063
"Capital Area District Library (Lansing, MI). Forest Parke Library and Archives",11697
Oakland County Historical Resources,7877
Western Michigan University. Libraries,3326
Detroit Historical Society,3132
Detroit Public Library,2416
Arab American National Museum,1295
Michigan State University. Libraries,1195
EYW,36
