dataProvider.name,count_of_items
Minnesota Historical Society,213683
University of Minnesota Libraries,102524
Hennepin County Library,86431
Minneapolis Institute of Arts,30879
College of Saint Benedict & Saint John's University,29282
South Dakota State University,26689
Minnesota Public Radio,26557
Black Hills State University,18340
South Dakota School of Mines and Technology,7616
Carleton College,6827
Bethel University,4688
Northfield History Collaborative,4245
"University of Minnesota Duluth, Kathryn A. Martin Library, Northeast Minnesota Historical Collections",3662
Minnesota Legislative Reference Library,3545
Stillwater Public Library,3195
St. Catherine University,2839
Northfield Historical Society,2373
"Hennepin County Library, James K. Hosmer Special Collections Library",2359
Hamline University,2140
University of South Dakota,2087
Minnesota Streetcar Museum,1939
Iron Range Research Center,1800
Minnesota Digital Library,1792
Pipestone County Historical Society,1557
St. Cloud State University,1511
Nicollet County Historical Society,1503
University of St. Thomas,1486
Crow Wing County Historical Society,1461
Blue Earth County Historical Society,1425
Minnesota State Horticultural Society,1154
Minneapolis Park & Recreation Board,1045
Hennepin History Museum,968
Becker County Historical Society,889
"Minnesota Department of Transportation, MnDOT Library ",848
"University of Minnesota Libraries, Nathan and Theresa Berman Upper Midwest Jewish Archives",834
Pope County Historical Society,755
Big Stone County Historical Society,697
Dakota State University,685
Minnesota Geological Survey,658
"University of Minnesota Libraries, Northwest Architectural Archives",568
"Concordia University, Saint Paul",517
American Swedish Institute,488
Northfield News,451
Stearns History Museum,444
Stevens County Museum and Historical Society,430
Rochester Community and Technical College,418
Saint Benedict's Monastery,386
University of Northwestern – St. Paul,382
Black Hills State University;,381
Bethel University Digital Library,380
