dataProvider.name,count_of_items
Public Library of Cincinnati and Hamilton County,35818
State Library of Ohio,13812
Cleveland Public Library,10952
Bowling Green State University Libraries,8657
Ohio History Connection,7790
Kent State University,5655
Kenyon College,4649
Toledo Lucas County Public Library,4227
Rodman Public Library,2466
Akron-Summit County Public Library,2365
Worthington Libraries,1920
MidPointe Library System,1402
Columbus Metropolitan Library,1160
Upper Arlington Public Library,53
Pontifical College Josephinum,30
