dataProvider.name,count_of_items
Temple University,104620
University of Pennsylvania,29675
Villanova University,27995
Free Library of Philadelphia,27042
University of Pittsburgh,20753
University of Scranton,17501
State Library of Pennsylvania,13052
Bryn Mawr College,12689
Library Company of Philadelphia,8680
Pennsylvania State University,7518
Pennsylvania State Archives,6983
Sewickley Public Library,5944
Science History Institute,5741
"Detre Library and Archives, Heinz History Center",5617
West Chester University,5375
Elizabethtown College,4451
Philadelphia Museum of Art,4154
Presbyterian Historical Society,3685
Lycoming College,3663
Lehigh University,3266
Mengle Memorial Library,2656
Carnegie Library of Pittsburgh,2362
La Salle University,2217
Jefferson - East Falls,2137
American Philosophical Society,2090
Historical Medical Library of The College of Physicians of Philadelphia,2059
James V. Brown Public Library,2041
Media Historic Archives Commission,1859
Susquehanna University,1409
Northland Public Library,1375
Thomas Jefferson University,1333
Catholic Historical Research Center of the Archdiocese of Philadelphia,1324
Carnegie Museum of Art,1293
Pennsylvania Highlands Community College,1197
Oakmont Carnegie Library,1126
Bellwood-Antis Public Library,895
Haverford College Quaker and Special Collections and Friends Historical Library of Swarthmore College,893
Friends Historical Library of Swarthmore College,834
Reading Public Library,703
Chatham University,592
Scranton Public Library,553
Pitcairn Historical Society,550
Meyersdale Public Library,530
Baldwin School Archives,494
Philadelphia College of Osteopathic Medicine,469
Williamson College of the Trades,422
The Walters Art Museum,410
Pittsburgh History and Landmarks Foundation,378
Bloomsburg University,365
Warren Library Association,363
