term,count
University of Wisconsin Digital Collections,148429
University of Wisconsin-Milwaukee,147015
Milwaukee Public Library,70651
Marquette University,30340
Wisconsin Department of Public Instruction,16141
Wisconsin Historical Society,11704
University of Wisconsin-La Crosse,7624
Beloit College,6958
Wisconsin Legislative Reference Bureau,6479
Monarch Library System,5929
Aram Public Library,4413
University of Wisconsin-Eau Claire,4212
St. Norbert College,3051
Richland County History Room,2681
Winding Rivers Library System,2554
Waldemar Ager Association,2388
Oshkosh Public Library,1641
L. E. Phillips Memorial Public Library,1589
South Wood County Historical Museum,1529
Neville Public Museum of Brown County,1471
McMillan Memorial Library,1418
Wisconsin State Cranberry Growers Association,1267
Ripon College,1228
Milwaukee Area Technical College,1207
Langlade County Historical Society,1138
Central Wisconsin Digitization Project,605
Edgewood College,584
College of Menominee Nation S. Verna Fowler Academic Library/Menominee Public Library,393
University of Wisconsin-Parkside,393
New Berlin Historical Society,370
Mineral Point Historical Society,361
Kaukauna Public Library,305
Mineral Point Library Archives,299
Kewaunee Public Library,297
University of Wisconsin-Madison iSchool,287
Stone Lake Area Historical Society,256
Viterbo University,244
Ripon Historical Society,211
Crandon Public Library,204
Brown Deer Public Library,181
Villa Terrace Decorative Arts Museum,165
Grant County Historical Society,151
Medical College of Wisconsin,128
Dane County Library Service,126
"Preservation Racine, Inc",109
Portage Historical Society,96
Oconto Falls Community Library,91
Clintonville Public Library,89
Ashland Historical Society Museum,87
McFarland Historical Society,87
