term,count
NMNH - Botany Dept.,1596547
National Museum of American History,355423
NMNH - Anthropology Dept.,289760
"Cooper Hewitt, Smithsonian Design Museum",153982
NMNH - Invertebrate Zoology Dept.,89466
NMNH - Entomology Dept.,75168
NMNH - Vertebrate Zoology - Fishes Division,54782
Freer Gallery of Art and Arthur M. Sackler Gallery,41540
Smithsonian American Art Museum,38991
"Archives Center, National Museum of American History",35774
National Anthropological Archives,34903
Smithsonian Libraries,33198
NMNH - Paleobiology Dept.,30278
National Air and Space Museum,26880
Smithsonian Institution Archives,17729
Archives of American Art,16859
NMNH - Mineral Sciences Dept.,16283
National Portrait Gallery,15253
National Air and Space Museum Archives,8606
Smithsonian Archives - History Div,5660
NMNH - Vertebrate Zoology - Mammals Division,5082
NMNH - Vertebrate Zoology - Herpetology Division,3325
National Museum of African American History and Culture,2396
NMNH - Vertebrate Zoology - Birds Division,2304
Smithsonian Field Book Project,1513
Anacostia Community Museum,1484
Freer Gallery of Art and Arthur M. Sackler Gallery Archives,138
Human Studies Film Archives,131
Ralph Rinzler Folklife Archives and Collections,90
Anacostia Community Museum Archives,6
