dataProvider.name,count_of_items
NMNH - Botany Dept.,1740055
National Museum of American History,356761
NMNH - Anthropology Dept.,289817
"Cooper Hewitt, Smithsonian Design Museum",154383
NMNH - Invertebrate Zoology Dept.,93690
NMNH - Entomology Dept.,75176
NMNH - Vertebrate Zoology - Fishes Division,56855
Freer Gallery of Art and Arthur M. Sackler Gallery,41521
Smithsonian American Art Museum,39040
"Archives Center, National Museum of American History",35774
Smithsonian Libraries,33906
National Anthropological Archives,32149
NMNH - Paleobiology Dept.,30800
National Air and Space Museum,27042
Smithsonian Institution Archives,18473
Archives of American Art,16968
NMNH - Mineral Sciences Dept.,16328
National Portrait Gallery,15270
National Air and Space Museum Archives,8606
Smithsonian Archives - History Div,5666
NMNH - Vertebrate Zoology - Mammals Division,5531
NMNH - Vertebrate Zoology - Herpetology Division,3364
NMNH - Vertebrate Zoology - Birds Division,2515
National Museum of African American History and Culture,2434
Smithsonian Field Book Project,1513
Anacostia Community Museum,1485
Freer Gallery of Art and Arthur M. Sackler Gallery Archives,138
Human Studies Film Archives,131
Ralph Rinzler Folklife Archives and Collections,90
Anacostia Community Museum Archives,6
