provider.name,count_of_items,dataProvider_file_path
National_Archives_and_Records_Administration,10280840,files/dataProvider/National_Archives_and_Records_Administration_dataProvider.csv
Smithsonian_Institution,3105487,files/dataProvider/Smithsonian_Institution_dataProvider.csv
HathiTrust,2745120,files/dataProvider/HathiTrust_dataProvider.csv
The_New_York_Public_Library,2048825,files/dataProvider/The_New_York_Public_Library_dataProvider.csv
University_of_Southern_California_Libraries,1170914,files/dataProvider/University_of_Southern_California_Libraries_dataProvider.csv
California_Digital_Library,1146537,files/dataProvider/California_Digital_Library_dataProvider.csv
The_Portal_to_Texas_History,1138722,files/dataProvider/The_Portal_to_Texas_History_dataProvider.csv
Mountain_West_Digital_Library,975287,files/dataProvider/Mountain_West_Digital_Library_dataProvider.csv
Digital_Commonwealth,647303,files/dataProvider/Digital_Commonwealth_dataProvider.csv
Minnesota_Digital_Library,621464,files/dataProvider/Minnesota_Digital_Library_dataProvider.csv
Digital_Library_of_Georgia,608584,files/dataProvider/Digital_Library_of_Georgia_dataProvider.csv
Internet_Archive,521588,files/dataProvider/Internet_Archive_dataProvider.csv
Recollection_Wisconsin,507054,files/dataProvider/Recollection_Wisconsin_dataProvider.csv
North_Carolina_Digital_Heritage_Center,439794,files/dataProvider/North_Carolina_Digital_Heritage_Center_dataProvider.csv
Empire_State_Digital_Network,425096,files/dataProvider/Empire_State_Digital_Network_dataProvider.csv
PA_Digital,356763,files/dataProvider/PA_Digital_dataProvider.csv
Indiana_Memory,318502,files/dataProvider/Indiana_Memory_dataProvider.csv
Illinois_Digital_Heritage_Hub,290977,files/dataProvider/Illinois_Digital_Heritage_Hub_dataProvider.csv
Michigan_Service_Hub,266290,files/dataProvider/Michigan_Service_Hub_dataProvider.csv
Biodiversity_Heritage_Library,220248,files/dataProvider/Biodiversity_Heritage_Library_dataProvider.csv
Digital_Library_of_Tennessee,185573,files/dataProvider/Digital_Library_of_Tennessee_dataProvider.csv
United_States_Government_Publishing_Office_(GPO),182007,files/dataProvider/United_States_Government_Publishing_Office_(GPO)_dataProvider.csv
South_Carolina_Digital_Library,179815,files/dataProvider/South_Carolina_Digital_Library_dataProvider.csv
Sunshine_State_Digital_Network,169973,files/dataProvider/Sunshine_State_Digital_Network_dataProvider.csv
Missouri_Hub,169836,files/dataProvider/Missouri_Hub_dataProvider.csv
University_of_Washington,141873,files/dataProvider/University_of_Washington_dataProvider.csv
Kentucky_Digital_Library,141677,files/dataProvider/Kentucky_Digital_Library_dataProvider.csv
ARTstor,134475,files/dataProvider/ARTstor_dataProvider.csv
OKHub,114806,files/dataProvider/OKHub_dataProvider.csv
Digital_Maryland,102537,files/dataProvider/Digital_Maryland_dataProvider.csv
Ohio_Digital_Network,100956,files/dataProvider/Ohio_Digital_Network_dataProvider.csv
J._Paul_Getty_Trust,99082,files/dataProvider/J._Paul_Getty_Trust_dataProvider.csv
David_Rumsey,87458,files/dataProvider/David_Rumsey_dataProvider.csv
Big_Sky_Country_Digital_Network,70440,files/dataProvider/Big_Sky_Country_Digital_Network_dataProvider.csv
Digital_Maine,63492,files/dataProvider/Digital_Maine_dataProvider.csv
District_Digital,57757,files/dataProvider/District_Digital_dataProvider.csv
Plains_to_Peaks_Collective,46842,files/dataProvider/Plains_to_Peaks_Collective_dataProvider.csv
University_of_Virginia_Library,30174,files/dataProvider/University_of_Virginia_Library_dataProvider.csv
Harvard_Library,17620,files/dataProvider/Harvard_Library_dataProvider.csv
Library_of_Congress,4481,files/dataProvider/Library_of_Congress_dataProvider.csv
